,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
38,0.76,0.89,0.78,0.77,0.86,0.79,0.8,0.74,0.64,0.82,0.93,0.95,0.76,0.87,0.69,0.82,0.79,0.78,0.74,0.79,0.43,0.48,0.9,0.77,0.76,0.27,0.25,0.36,0.06,0.09,0.15,0.09,0.09
39,0.74,0.87,0.81,0.81,0.75,0.89,0.76,0.64,0.71,0.87,0.95,0.93,0.92,0.9,0.86,0.84,0.86,0.85,0.67,0.77,0.75,0.35,0.9,0.83,0.71,0.42,0.42,0.38,0.1,0.1,0.15,0.07,0.14
40,0.58,0.45,0.86,0.81,0.4,0.63,0.61,0.69,0.8,0.77,0.61,0.66,0.59,0.87,0.6,0.68,0.78,0.78,0.85,0.47,0.79,0.87,0.54,0.65,0.44,0.88,0.89,0.88,0.1,0.11,0.05,0.14,0.05
41,0.85,0.78,0.51,0.86,0.69,0.92,0.84,0.67,0.74,0.92,0.85,0.78,0.94,0.85,0.92,0.74,0.51,0.93,0.54,0.75,0.69,0.49,0.85,0.85,0.68,0.49,0.59,0.4,0.09,0.1,0.14,0.12,0.09
42,0.58,0.64,0.76,0.83,0.61,0.69,0.63,0.74,0.82,0.78,0.58,0.66,0.62,0.86,0.66,0.86,0.87,0.88,0.9,0.81,0.89,0.86,0.69,0.77,0.66,0.84,0.87,0.86,0.13,0.14,0.16,0.12,0.12
43,0.81,0.86,0.65,0.83,0.81,0.88,0.85,0.7,0.7,0.87,0.86,0.89,0.86,0.89,0.76,0.88,0.63,0.87,0.62,0.9,0.6,0.39,0.88,0.81,0.71,0.48,0.34,0.33,0.11,0.13,0.13,0.06,0.1
44,0.68,0.69,0.66,0.86,0.74,0.77,0.7,0.72,0.83,0.82,0.68,0.64,0.69,0.89,0.77,0.83,0.78,0.79,0.76,0.78,0.87,0.89,0.7,0.78,0.61,0.87,0.86,0.8,0.12,0.11,0.05,0.13,0.07
45,0.6,0.4,0.81,0.8,0.61,0.67,0.62,0.61,0.8,0.8,0.6,0.64,0.67,0.82,0.67,0.71,0.9,0.71,0.81,0.65,0.76,0.9,0.59,0.7,0.6,0.88,0.88,0.85,0.09,0.12,0.05,0.09,0.1
46,0.75,0.84,0.83,0.85,0.83,0.86,0.81,0.73,0.72,0.9,0.78,0.74,0.78,0.85,0.69,0.82,0.77,0.79,0.8,0.76,0.65,0.39,0.88,0.86,0.82,0.47,0.24,0.18,0.13,0.11,0.05,0.05,0.07
47,0.72,0.56,0.8,0.79,0.52,0.71,0.66,0.7,0.74,0.77,0.6,0.65,0.6,0.85,0.6,0.8,0.85,0.75,0.79,0.66,0.84,0.89,0.56,0.68,0.66,0.89,0.87,0.88,0.06,0.1,0.09,0.12,0.07
48,0.79,0.86,0.4,0.82,0.7,0.91,0.82,0.79,0.74,0.89,0.93,0.83,0.94,0.88,0.92,0.8,0.59,0.73,0.39,0.81,0.59,0.36,0.87,0.83,0.79,0.25,0.4,0.4,0.07,0.1,0.08,0.1,0.04
49,0.64,0.55,0.87,0.81,0.6,0.68,0.65,0.53,0.85,0.81,0.46,0.55,0.64,0.87,0.59,0.71,0.68,0.65,0.85,0.51,0.71,0.89,0.56,0.79,0.68,0.9,0.89,0.86,0.15,0.06,0.1,0.05,0.06
50,0.64,0.45,0.82,0.79,0.38,0.62,0.63,0.69,0.85,0.75,0.61,0.66,0.59,0.87,0.5,0.78,0.84,0.78,0.79,0.58,0.81,0.88,0.54,0.62,0.58,0.9,0.9,0.86,0.16,0.06,0.14,0.16,0.14
51,0.87,0.73,0.7,0.84,0.6,0.81,0.8,0.63,0.79,0.85,0.91,0.9,0.89,0.85,0.85,0.64,0.81,0.92,0.61,0.66,0.77,0.83,0.83,0.78,0.59,0.74,0.83,0.84,0.13,0.15,0.13,0.06,0.13
52,0.78,0.69,0.54,0.9,0.86,0.9,0.85,0.77,0.87,0.91,0.76,0.64,0.91,0.86,0.88,0.76,0.76,0.75,0.59,0.79,0.56,0.83,0.79,0.86,0.75,0.67,0.67,0.71,0.06,0.11,0.07,0.09,0.13
53,0.11,0.15,0.11,0.3,0.11,0.16,0.11,0.15,0.37,0.19,0.54,0.53,0.6,0.84,0.61,0.56,0.74,0.39,0.75,0.13,0.32,0.2,0.16,0.68,0.25,0.28,0.14,0.14,0.9,0.81,0.75,0.82,0.9
54,0.86,0.77,0.59,0.87,0.74,0.9,0.87,0.77,0.78,0.93,0.94,0.85,0.94,0.84,0.93,0.79,0.52,0.72,0.4,0.85,0.34,0.26,0.85,0.89,0.68,0.49,0.24,0.22,0.08,0.04,0.14,0.09,0.1
55,0.83,0.81,0.72,0.8,0.85,0.88,0.83,0.82,0.64,0.85,0.93,0.96,0.86,0.81,0.8,0.87,0.64,0.78,0.7,0.78,0.61,0.34,0.84,0.82,0.71,0.36,0.32,0.35,0.08,0.12,0.09,0.09,0.14
56,0.68,0.33,0.84,0.82,0.31,0.64,0.55,0.32,0.82,0.79,0.72,0.76,0.69,0.85,0.68,0.61,0.89,0.76,0.75,0.35,0.8,0.86,0.59,0.68,0.47,0.86,0.87,0.87,0.06,0.06,0.12,0.1,0.13
57,0.4,0.42,0.82,0.73,0.4,0.67,0.34,0.3,0.69,0.69,0.7,0.69,0.48,0.83,0.51,0.5,0.78,0.75,0.85,0.3,0.86,0.86,0.3,0.57,0.56,0.92,0.87,0.83,0.1,0.13,0.12,0.08,0.12
58,0.75,0.6,0.55,0.9,0.64,0.9,0.74,0.64,0.89,0.89,0.69,0.61,0.91,0.85,0.94,0.56,0.64,0.77,0.52,0.58,0.89,0.84,0.71,0.87,0.64,0.78,0.82,0.83,0.12,0.12,0.15,0.15,0.1
59,0.61,0.51,0.79,0.8,0.65,0.64,0.72,0.62,0.73,0.77,0.66,0.72,0.62,0.82,0.66,0.83,0.88,0.71,0.86,0.74,0.82,0.87,0.51,0.58,0.61,0.87,0.88,0.85,0.15,0.1,0.14,0.12,0.15
60,0.12,0.12,0.16,0.32,0.14,0.11,0.16,0.14,0.36,0.22,0.51,0.47,0.55,0.82,0.51,0.55,0.71,0.45,0.65,0.14,0.4,0.15,0.14,0.48,0.18,0.2,0.13,0.12,0.85,0.82,0.73,0.86,0.88
61,0.91,0.66,0.74,0.87,0.67,0.83,0.85,0.61,0.85,0.85,0.77,0.68,0.84,0.87,0.84,0.76,0.79,0.94,0.66,0.71,0.86,0.8,0.8,0.84,0.44,0.78,0.8,0.79,0.08,0.15,0.07,0.15,0.15
62,0.78,0.79,0.55,0.84,0.67,0.92,0.88,0.76,0.8,0.93,0.74,0.68,0.85,0.76,0.9,0.69,0.61,0.62,0.59,0.84,0.58,0.61,0.79,0.87,0.76,0.58,0.64,0.51,0.1,0.08,0.12,0.15,0.06
63,0.72,0.85,0.78,0.86,0.81,0.88,0.8,0.65,0.76,0.88,0.78,0.77,0.8,0.86,0.81,0.81,0.81,0.88,0.74,0.76,0.73,0.58,0.87,0.86,0.72,0.6,0.64,0.42,0.08,0.11,0.09,0.06,0.1
64,0.84,0.78,0.59,0.86,0.84,0.8,0.88,0.82,0.9,0.87,0.64,0.61,0.73,0.8,0.62,0.84,0.34,0.79,0.71,0.85,0.67,0.79,0.77,0.85,0.82,0.76,0.73,0.72,0.14,0.11,0.12,0.05,0.09
65,0.8,0.56,0.6,0.91,0.72,0.86,0.86,0.92,0.87,0.89,0.69,0.67,0.75,0.84,0.81,0.78,0.6,0.79,0.61,0.82,0.7,0.78,0.68,0.88,0.79,0.78,0.76,0.7,0.07,0.07,0.13,0.07,0.08
66,0.86,0.76,0.51,0.83,0.77,0.87,0.88,0.88,0.8,0.86,0.85,0.84,0.94,0.82,0.77,0.83,0.72,0.78,0.6,0.84,0.73,0.42,0.84,0.86,0.73,0.41,0.55,0.52,0.1,0.07,0.11,0.12,0.11
67,0.44,0.48,0.84,0.77,0.58,0.69,0.56,0.61,0.85,0.75,0.55,0.6,0.61,0.84,0.55,0.74,0.85,0.68,0.82,0.65,0.82,0.9,0.38,0.74,0.7,0.9,0.86,0.8,0.02,0.02,0.03,0.02,0.04
68,0.79,0.77,0.48,0.84,0.78,0.9,0.9,0.86,0.82,0.91,0.84,0.75,0.92,0.82,0.93,0.82,0.59,0.76,0.61,0.88,0.59,0.49,0.84,0.86,0.7,0.55,0.54,0.47,0.12,0.07,0.09,0.14,0.06
69,0.84,0.8,0.61,0.91,0.72,0.79,0.89,0.9,0.88,0.85,0.49,0.35,0.64,0.78,0.72,0.79,0.49,0.76,0.71,0.82,0.58,0.81,0.81,0.86,0.83,0.69,0.68,0.65,0.05,0.09,0.12,0.14,0.08
70,0.79,0.87,0.81,0.81,0.84,0.75,0.81,0.59,0.72,0.82,0.69,0.75,0.74,0.91,0.71,0.78,0.77,0.86,0.67,0.8,0.61,0.58,0.92,0.85,0.6,0.44,0.57,0.46,0.06,0.07,0.11,0.14,0.14
71,0.55,0.87,0.81,0.74,0.85,0.83,0.7,0.51,0.49,0.83,0.76,0.83,0.75,0.87,0.63,0.86,0.77,0.79,0.73,0.8,0.77,0.4,0.91,0.65,0.78,0.34,0.33,0.32,0.06,0.08,0.15,0.12,0.06
72,0.68,0.87,0.74,0.81,0.82,0.86,0.74,0.74,0.69,0.86,0.82,0.82,0.85,0.86,0.85,0.86,0.76,0.79,0.73,0.78,0.72,0.42,0.87,0.78,0.84,0.29,0.42,0.3,0.11,0.06,0.09,0.05,0.06
73,0.52,0.5,0.85,0.76,0.4,0.66,0.48,0.55,0.74,0.74,0.61,0.72,0.56,0.83,0.6,0.82,0.84,0.77,0.88,0.64,0.82,0.82,0.44,0.63,0.4,0.86,0.82,0.8,0.12,0.11,0.11,0.12,0.1
74,0.12,0.12,0.12,0.34,0.08,0.28,0.12,0.14,0.24,0.28,0.46,0.54,0.64,0.79,0.38,0.56,0.72,0.34,0.72,0.18,0.3,0.26,0.14,0.5,0.24,0.2,0.14,0.16,0.9,0.8,0.74,0.8,0.9
75,0.75,0.64,0.66,0.9,0.69,0.88,0.84,0.64,0.86,0.89,0.8,0.78,0.84,0.87,0.79,0.68,0.76,0.82,0.74,0.62,0.72,0.81,0.7,0.86,0.45,0.75,0.75,0.77,0.07,0.13,0.1,0.1,0.09
76,0.36,0.4,0.83,0.75,0.42,0.55,0.46,0.52,0.76,0.77,0.79,0.86,0.63,0.83,0.38,0.52,0.79,0.72,0.86,0.53,0.77,0.82,0.44,0.59,0.43,0.87,0.86,0.85,0.11,0.11,0.09,0.05,0.14
77,0.34,0.22,0.86,0.78,0.33,0.43,0.28,0.3,0.69,0.63,0.53,0.87,0.34,0.81,0.33,0.77,0.4,0.66,0.94,0.62,0.83,0.81,0.26,0.4,0.32,0.85,0.89,0.87,0.15,0.07,0.14,0.07,0.15
78,0.64,0.8,0.86,0.85,0.74,0.86,0.78,0.75,0.85,0.87,0.66,0.67,0.65,0.8,0.59,0.83,0.85,0.85,0.88,0.8,0.73,0.78,0.79,0.85,0.56,0.75,0.77,0.72,0.07,0.1,0.07,0.16,0.07
79,0.63,0.64,0.75,0.85,0.59,0.76,0.65,0.54,0.82,0.82,0.68,0.66,0.69,0.82,0.72,0.74,0.69,0.84,0.8,0.76,0.76,0.84,0.75,0.82,0.46,0.82,0.84,0.78,0.1,0.1,0.07,0.14,0.08
80,0.69,0.78,0.83,0.85,0.76,0.81,0.72,0.6,0.83,0.85,0.71,0.7,0.73,0.82,0.69,0.82,0.78,0.87,0.77,0.81,0.69,0.79,0.82,0.82,0.55,0.77,0.78,0.77,0.07,0.13,0.12,0.1,0.09
81,0.75,0.66,0.75,0.83,0.47,0.76,0.71,0.53,0.82,0.82,0.67,0.69,0.66,0.84,0.66,0.78,0.75,0.88,0.81,0.65,0.85,0.88,0.7,0.78,0.91,0.84,0.86,0.85,0.13,0.12,0.06,0.08,0.08
82,0.89,0.57,0.63,0.79,0.32,0.78,0.78,0.3,0.71,0.81,0.83,0.86,0.78,0.84,0.74,0.74,0.62,0.94,0.65,0.65,0.8,0.82,0.76,0.77,0.55,0.81,0.83,0.8,0.11,0.08,0.1,0.07,0.14
83,0.47,0.37,0.81,0.69,0.3,0.5,0.36,0.44,0.62,0.6,0.67,0.7,0.54,0.79,0.39,0.72,0.89,0.64,0.88,0.48,0.89,0.85,0.24,0.27,0.38,0.88,0.86,0.86,0.09,0.11,0.07,0.1,0.15
84,0.55,0.39,0.82,0.81,0.37,0.57,0.59,0.31,0.75,0.76,0.77,0.74,0.62,0.84,0.6,0.58,0.86,0.75,0.82,0.46,0.8,0.87,0.54,0.66,0.49,0.9,0.83,0.81,0.1,0.1,0.09,0.12,0.07
85,0.86,0.77,0.58,0.86,0.86,0.85,0.86,0.87,0.87,0.87,0.79,0.76,0.78,0.84,0.79,0.89,0.72,0.92,0.67,0.88,0.7,0.73,0.81,0.88,0.87,0.66,0.64,0.57,0.12,0.14,0.15,0.08,0.14
86,0.19,0.18,0.16,0.32,0.13,0.15,0.15,0.14,0.31,0.21,0.63,0.64,0.67,0.84,0.62,0.56,0.82,0.36,0.73,0.18,0.43,0.25,0.09,0.48,0.16,0.13,0.15,0.13,0.87,0.8,0.75,0.84,0.89
87,0.16,0.1,0.23,0.29,0.1,0.19,0.18,0.11,0.25,0.25,0.42,0.44,0.41,0.82,0.42,0.61,0.67,0.35,0.74,0.12,0.34,0.23,0.11,0.42,0.24,0.25,0.16,0.2,0.84,0.86,0.81,0.84,0.86
88,0.15,0.08,0.17,0.37,0.13,0.12,0.13,0.12,0.24,0.23,0.44,0.54,0.49,0.83,0.52,0.56,0.74,0.36,0.74,0.14,0.35,0.18,0.1,0.5,0.2,0.11,0.13,0.16,0.86,0.8,0.74,0.83,0.89
89,0.72,0.84,0.85,0.75,0.77,0.78,0.78,0.66,0.71,0.7,0.64,0.84,0.55,0.84,0.46,0.87,0.71,0.75,0.95,0.74,0.71,0.27,0.86,0.73,0.78,0.3,0.3,0.3,0.08,0.15,0.14,0.07,0.1
90,0.27,0.25,0.8,0.6,0.16,0.54,0.3,0.1,0.61,0.65,0.81,0.83,0.68,0.82,0.6,0.4,0.86,0.72,0.82,0.12,0.86,0.86,0.25,0.22,0.26,0.87,0.87,0.89,0.08,0.06,0.08,0.15,0.12
91,0.11,0.15,0.14,0.36,0.12,0.19,0.12,0.13,0.41,0.24,0.56,0.52,0.59,0.79,0.49,0.59,0.83,0.41,0.63,0.2,0.4,0.15,0.11,0.42,0.22,0.17,0.14,0.15,0.86,0.81,0.79,0.82,0.82
92,0.82,0.63,0.74,0.82,0.68,0.79,0.78,0.85,0.79,0.82,0.79,0.86,0.78,0.84,0.78,0.85,0.83,0.85,0.74,0.8,0.69,0.82,0.76,0.77,0.79,0.8,0.8,0.8,0.05,0.07,0.14,0.15,0.09
93,0.46,0.89,0.88,0.73,0.85,0.75,0.58,0.45,0.54,0.8,0.76,0.75,0.75,0.85,0.76,0.84,0.94,0.67,0.73,0.7,0.56,0.22,0.92,0.64,0.82,0.45,0.24,0.2,0.13,0.09,0.05,0.07,0.09
94,0.84,0.41,0.7,0.83,0.34,0.78,0.74,0.47,0.74,0.84,0.79,0.83,0.8,0.84,0.82,0.68,0.77,0.9,0.74,0.36,0.84,0.83,0.75,0.74,0.45,0.83,0.83,0.85,0.13,0.13,0.15,0.09,0.15
95,0.84,0.73,0.53,0.86,0.74,0.83,0.9,0.78,0.89,0.83,0.83,0.77,0.86,0.84,0.78,0.8,0.37,0.84,0.58,0.77,0.73,0.52,0.82,0.89,0.67,0.44,0.56,0.4,0.11,0.07,0.11,0.08,0.14
96,0.7,0.86,0.83,0.77,0.88,0.77,0.8,0.78,0.73,0.84,0.57,0.55,0.72,0.82,0.39,0.9,0.68,0.59,0.87,0.88,0.84,0.2,0.91,0.84,0.89,0.28,0.37,0.24,0.13,0.15,0.1,0.09,0.12
97,0.81,0.79,0.38,0.81,0.72,0.85,0.79,0.79,0.74,0.85,0.94,0.85,0.92,0.81,0.94,0.76,0.7,0.7,0.46,0.79,0.56,0.4,0.82,0.85,0.72,0.5,0.3,0.34,0.08,0.11,0.12,0.09,0.06
98,0.68,0.88,0.77,0.75,0.88,0.8,0.74,0.62,0.6,0.84,0.62,0.64,0.72,0.86,0.69,0.86,0.78,0.6,0.84,0.8,0.5,0.2,0.9,0.75,0.7,0.35,0.22,0.18,0.05,0.12,0.07,0.05,0.1
99,0.74,0.6,0.68,0.83,0.72,0.76,0.6,0.52,0.77,0.79,0.77,0.73,0.83,0.84,0.79,0.78,0.84,0.9,0.74,0.67,0.86,0.86,0.72,0.74,0.56,0.85,0.84,0.86,0.08,0.11,0.05,0.1,0.14
100,0.86,0.84,0.84,0.81,0.85,0.83,0.9,0.87,0.8,0.84,0.9,0.91,0.79,0.8,0.65,0.92,0.86,0.73,0.8,0.9,0.65,0.59,0.85,0.79,0.76,0.54,0.55,0.52,0.15,0.15,0.11,0.05,0.06
101,0.89,0.73,0.75,0.85,0.63,0.89,0.84,0.67,0.77,0.92,0.82,0.8,0.85,0.85,0.86,0.82,0.77,0.79,0.78,0.7,0.81,0.81,0.83,0.8,0.59,0.71,0.79,0.82,0.12,0.05,0.05,0.05,0.09
102,0.69,0.71,0.81,0.89,0.77,0.78,0.69,0.68,0.84,0.84,0.67,0.77,0.76,0.85,0.67,0.78,0.77,0.82,0.82,0.74,0.79,0.8,0.75,0.8,0.76,0.82,0.85,0.83,0.05,0.07,0.07,0.1,0.07
